id,designation,designateur_eaip,terrain,nature,secteur,plancher_ft,plafond_ft,zone,source,confiance,catalogue_station,remarque
121750,121.750,121.750,LFPV,tour,,,,,eAIP AD 2.LFPV §2.18 (AIRAC 03/09/2026) : TWR « VILLA Tour (FR) »,eAIP,Villacoublay Sol,le catalogue dit « Villacoublay Sol » ; l eAIP dit VILLA Tour
121775,121.775,121.780,LFPG,sol,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Sol (FR) »,eAIP,De Gaulle Sol,Canal 8.33
121808,121.808,121.810,LFPG,sol,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Sol (FR) »,eAIP,De Gaulle Sol,Canal 8.33
121842,121.842,121.840,LFPG,prevol,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Prevol (FR) »,eAIP,De Gaulle Prevol,Canal 8.33
121900,121.900,121.905,LFPB,sol,,,,,eAIP AD 2.LFPB §2.18 (AIRAC 03/09/2026) : TWR « LE BOURGET Sol (FR) »,eAIP,Chavenay Sol / Le Bourget Sol,le catalogue dit aussi « Chavenay Sol » ; LFPX non vérifiable (pas de fiche AD 2)
121950,121.950,121.955,LFPB,prevol,,,,,eAIP AD 2.LFPB §2.18 (AIRAC 03/09/2026) : TWR « LE BOURGET Prevol (FR) »,eAIP,Le Bourget Prevol,
121975,121.975,121.980,LFPG,sol,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Sol (FR) »,eAIP,De Gaulle Sol,Canal 8.33
123600,123.600,123.605,LFPG,tour,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Tour (FR) »,eAIP,De Gaulle Tour,Canal 8.33
123875,123.875,123.875,LFPO,approche,,,,,eAIP AD 2.LFPO §2.18 (AIRAC 03/09/2026) : APP « ORLY Approche (FR) »,eAIP,Orly Approche,
124350,124.350,124.355,LFPG,approche,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : APP « DE GAULLE Approche (FR) »,eAIP,Approche De Gaulle + Le Bourget,Canal 8.33 ; catalogue : sert aussi Le Bourget (carte LFPB lue le 14/09) ; l AD 2.18 de LFPB ne cite que 118.805 comme Le Bourget Approche
124450,124.450,124.450,LFPO,approche,,,,,eAIP AD 2.LFPO §2.18 (AIRAC 03/09/2026) : APP « ORLY Approche (FR) »,eAIP,Orly Approche 2,
124625,124.625,124.630,PARIS UAC,controle,DG,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « PARIS Contrôle (FR) », secteur DG, H24",eAIP (attribution) ; à confirmer à l écoute,Paris Controle - secteur DG,confirme le catalogue
125275,125.275,,LFPX,atis,,,,,catalogue station (identification du 11-16/09) (porteuse permanente au balayage) ; LFPX n a pas de fiche AD 2,catalogue ; jamais écoutée,Chavenay ATIS,
125325,125.325,125.330,LFPG,tour,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : TWR « DE GAULLE Tour (FR) »,eAIP,De Gaulle Tour (secours),Fréquence supplétive/Auxiliary frequency. ; Canal 8.33 ; aussi : TWR DE GAULLE Trafic (FR)
125825,125.825,125.830,LFPG,approche,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : APP « DE GAULLE Approche (FR) »,eAIP,De Gaulle Approche,Canal 8.33
125933,125.933,125.935,REIMS UAC,controle,YR/HR,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « REIMS Contrôle (FR) », secteur YR/HR, H24",eAIP (attribution) ; à confirmer à l écoute,jamais cataloguee - des. 125.935,NOUVEAU 26/09 : identifiée par l eAIP (catalogue : « jamais cataloguée »)
126425,126.425,126.430,LFPG,approche,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : APP « DE GAULLE Approche (FR) »,eAIP,De Gaulle Approche (L),Canal 8.33
126500,126.500,126.505,LFPO,atis,,,,,eAIP AD 2.LFPO §2.18 (AIRAC 03/09/2026) : ATIS « ORLY (FR) »,eAIP,Orly ATIS (FR),
126575,126.575,126.580,LFPG,approche,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : APP « DE GAULLE Approche (FR) »,eAIP,De Gaulle Approche (secours),Fréquence supplétive/Auxiliary frequency. ; Canal 8.33
127125,127.125,127.130,LFPG,atis,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : ATIS « DE GAULLE (FR) »,eAIP,De Gaulle ATIS (EN),Diffusion des paramètres de DEP et ARR (EN)/ARR-DEP parameters broadcasting(EN). ; Canal 8.33 ; D-ATIS ; DE GAULLE (FR) ; DE GAULLE (EN)
127475,127.475,127.480,LFPN,atis,,,,,eAIP AD 2.LFPN §2.18 (AIRAC 03/09/2026) : ATIS « TOUSSUS (FR) »,eAIP,Toussus ATIS,
127750,127.750,127.750,LFPO,depart,,,,,eAIP AD 2.LFPO §2.18 (AIRAC 03/09/2026) : APP « ORLY Approche (FR) »,eAIP + écoute,Orly Depart,"l eAIP le range en APP « ORLY Approche » ; « Orly Départ » vient de l écoute (phraséologie, +50 dB)"
127850,127.850,127.855,REIMS UAC,controle,KN,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « REIMS Contrôle (FR) », secteur KN, H24",eAIP (attribution) ; à confirmer à l écoute,Reims Controle - secteur KN,confirme le catalogue
128142,128.142,128.140,PARIS UAC,controle,US,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « PARIS Contrôle (FR) », secteur US, H24",eAIP (attribution) ; à confirmer à l écoute,Paris Controle - secteur US (des. 128.140),confirme le catalogue
128225,128.225,128.230,LFPG,atis,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : ATIS « DE GAULLE (FR) »,eAIP,De Gaulle ATIS (FR),Diffusion des paramètres de DEP et ARR (FR)/ARR-DEP parameters broadcasting. ; Canal 8.33
128950,128.950,128.950,LFPV,tour,,,,,eAIP AD 2.LFPV §2.18 (AIRAC 03/09/2026) : TWR « VILLA Tour (FR) »,eAIP,Villacoublay Tour (LFPV),
129525,129.525,,LFPX,tour,,,,,catalogue station (identification du 11-16/09) ; nom entendu à l écoute (12/09) ; LFPX n a pas de fiche AD 2,écoute,Chavenay Tour (LFPX),
131025,131.025,,LFPZ,atis,,,,,catalogue station (identification du 11-16/09) ; campagne ATIS du 20/09 (écoutée et transcrite) ; LFPZ n a pas de fiche AD 2,écoute,Saint-Cyr ATIS,
131200,131.200,131.205,LFPG,approche,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : APP « DE GAULLE Approche (FR) »,eAIP,De Gaulle Approche,Canal 8.33
131350,131.350,131.355,LFPO,atis,,,,,eAIP AD 2.LFPO §2.18 (AIRAC 03/09/2026) : ATIS « ORLY (FR) »,eAIP,Orly ATIS (EN),
132275,132.275,132.280,REIMS UAC,controle,KF,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « REIMS Contrôle (FR) », secteur KF, H24",CONFLIT à trancher à l écoute,Paris Controle - secteur arrivee CDG (des. 132.280),"le catalogue dit « Paris Contrôle, secteur arrivée CDG » (écoute du 16/09 : un appel pilote + 14 transferts vers 121.155 De Gaulle Approche) ; l eAIP attribue 132.280 à REIMS Contrôle secteur KF ; les transferts vers l approche CDG sont compatibles avec les deux ; seul l indicatif entendu (« Paris » ou « Reims ») tranchera"
132500,132.500,132.505,REIMS UAC,controle,HN,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « REIMS Contrôle (FR) », secteur HN, H24",eAIP (attribution) ; à confirmer à l écoute,en route - croisiere haute FL360-380 (des. 132.505),"NOUVEAU 26/09 : organisme identifié par l eAIP (catalogue : « organisme inconnu ») ; niveaux ENTENDUS la nuit du 15-16/09 : FL360-380 (transcription, ce n est pas une limite de secteur)"
132733,132.733,132.735,BREST UAC,controle,MU,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « BREST Contrôle (FR) », secteur MU, H24",eAIP (attribution) ; à confirmer à l écoute,en route - croisiere haute FL370-390 (des. 132.735),"NOUVEAU 26/09 : organisme identifié par l eAIP (catalogue : « organisme inconnu ») ; niveaux ENTENDUS la nuit du 15-16/09 : FL370-390 (transcription, ce n est pas une limite de secteur)"
132742,132.742,132.740,PARIS UAC,controle,PU,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « PARIS Contrôle (FR) », secteur PU, H24",eAIP (attribution) ; CONTRADICTION avec le balayage,porteuse permanente - des. 132.740,"le balayage du 14/09 y voit une PORTEUSE PERMANENTE (écart crête-médiane 3,4 dB) : un secteur de contrôle ne devrait pas émettre en continu ; à vérifier à l écoute"
132783,132.783,132.785,REIMS UAC,controle,XR,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « REIMS Contrôle (FR) », secteur XR, H24",eAIP (attribution) ; à confirmer à l écoute,en route - croisiere haute FL330-340 (des. 132.785),"NOUVEAU 26/09 : organisme identifié par l eAIP (catalogue : « organisme inconnu ») ; niveaux ENTENDUS la nuit du 15-16/09 : FL330-340 (transcription, ce n est pas une limite de secteur)"
132825,132.825,132.830,BREST UAC,controle,ZU,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « BREST Contrôle (FR) », secteur ZU, H24",eAIP (attribution) ; à confirmer à l écoute,Brest Controle - probable (des. 132.830),confirme « Brest Contrôle probable » (un appel pilote le 16/09)
133000,133.000,133.005,REIMS UAC,controle,UB,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « REIMS Contrôle (FR) », secteur UB, H24",eAIP (attribution) ; à confirmer à l écoute,en route - croisiere haute FL340 (des. 133.005),"NOUVEAU 26/09 : organisme identifié par l eAIP (catalogue : « organisme inconnu ») ; niveaux ENTENDUS la nuit du 15-16/09 : FL340 (transcription, ce n est pas une limite de secteur)"
133250,133.250,133.255,REIMS UAC,controle,UN,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « REIMS Contrôle (FR) », secteur UN, H24",eAIP (attribution) ; à confirmer à l écoute,en route - croisiere haute FL270-340 (des. 133.255),"NOUVEAU 26/09 : organisme identifié par l eAIP (catalogue : « organisme inconnu ») ; niveaux ENTENDUS la nuit du 15-16/09 : FL270-340 (transcription, ce n est pas une limite de secteur)"
133375,133.375,133.380,LFPG,approche,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : APP « DE GAULLE Approche (FR) »,eAIP,De Gaulle Approche,Canal 8.33
135033,135.033,135.035,REIMS UAC,controle,KD,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « REIMS Contrôle (FR) », secteur KD, H24",eAIP (attribution) ; à confirmer à l écoute,jamais cataloguee - des. 135.035,NOUVEAU 26/09 : identifiée par l eAIP (catalogue : « jamais cataloguée »)
135400,135.400,135.405,PARIS ACC,controle,DO,SFC,FL 195,limites du secteur non publiées ; bornes = FIR Paris (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « PARIS Contrôle (FR) », secteur DO, H24",eAIP (attribution) ; à confirmer à l écoute,Paris Controle - secteur DO,confirme le catalogue
135500,135.500,135.505,REIMS UAC,controle,UR,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « REIMS Contrôle (FR) », secteur UR, H24",eAIP (attribution) ; à confirmer à l écoute,jamais cataloguee - des. 135.505,NOUVEAU 26/09 : identifiée par l eAIP (catalogue : « jamais cataloguée »)
135550,135.550,135.550,PARIS ACC,controle,TN,SFC,FL 195,limites du secteur non publiées ; bornes = FIR Paris (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « PARIS Contrôle (FR) », secteur TN, H24",eAIP (attribution) ; à confirmer à l écoute,jamais cataloguee - des. 135.555,NOUVEAU 26/09 : identifiée par l eAIP (catalogue : « jamais cataloguée »)
135967,135.967,135.965,BREST UAC,controle,MS/ZS,FL 195,FL 660,limites du secteur non publiées ; bornes = UIR France (ENR 2.1),"eAIP GEN 3.4 §3.4.5.4 (AIRAC 03/09/2026) : ACS « BREST Contrôle (FR) », secteur MS/ZS, H24",eAIP (attribution) ; à confirmer à l écoute,Brest Controle - secteurs MS/ZS (des. 135.965),confirme le catalogue
136275,136.275,136.280,LFPG,approche,,,,,eAIP AD 2.LFPG §2.18 (AIRAC 03/09/2026) : APP « DE GAULLE Approche (FR) »,eAIP,De Gaulle Approche,Canal 8.33
